FLOOR,APT,BED,NET SF,AMI
2,2A,2,555.00,
2,2B,0,312.00,
2,2C,2,554.00,
2,2D,2,606.00,
2,2E,2,622.00,
2,2F,2,625.00,60%
2,2H,2,584.00,60%
2,2J,1,436.00,60%
3,3A,2,555.00,
3,3B,0,312.00,
3,3C,2,554.00,
3,3D,2,606.00,
3,3E,2,622.00,
3,3F,2,625.00,
3,3G,2,621.00,60%
3,3H,2,584.00,60%
3,3J,1,436.00,60%
4,4A,2,555.00,
4,4B,0,312.00,
4,4C,2,554.00,
4,4D,2,606.00,
4,4E,2,622.00,
4,4F,2,625.00,
4,4G,2,621.00,60%
4,4H,2,584.00,60%
4,4J,1,436.00,60%
5,5A,2,555.00,
5,5B,0,312.00,60%
5,5C,2,554.00,
5,5D,2,606.00,
5,5E,2,622.00,
5,5F,2,625.00,
5,5G,2,621.00,
5,5H,2,584.00,
5,5J,1,436.00,
6,6A,2,555.00,
6,6B,0,312.00,60%
6,6C,2,554.00,
6,6D,2,606.00,
6,6E,2,622.00,
6,6F,2,625.00,
6,6G,2,621.00,
6,6H,2,584.00,
6,6J,1,436.00,
